Incident_ID,ResponseDate,CaseNumber,HundredBlock,Problem
"01/06/2019 13:33:58","1","TRESP1B-Trespassing I/P","BPD190106-001150",""
"01/06/2019 16:10:27","1","CRMIS1B - Criminal Mis I/P","BPD190106-001176",""
"01/06/2019 19:58:55","1","TRESP1B-Trespassing I/P","BPD190106-001206","20190106-0000196"
"01/06/2019 21:21:18","1","TRESP1B-Trespassing I/P","BPD190106-001218",""
"01/06/2019 22:36:45","1","SUSPI1B-Suspicious I/P","BPD190106-001225",""
"01/07/2019 00:08:16","1","DISTU1B - Disturbance I/P","BPD190107-001238",""
"01/07/2019 00:58:47","1","SHOTS1B-Shots Heard I/P","BPD190107-001244",""
"01/07/2019 01:09:09","1","DISTU1B - Disturbance I/P","BPD190107-001246",""
"01/07/2019 07:39:40","1","TRESP1B-Trespassing I/P","BPD190107-001266","20190107-0000204"
"01/07/2019 07:40:37","1","TRESP1B-Trespassing I/P","BPD190107-001267",""
"01/07/2019 09:15:43","1","DISTU1B - Disturbance I/P","BPD190107-001284",""
"01/07/2019 09:47:49","1","DISTU1B - Disturbance I/P","BPD190107-001290",""
"01/07/2019 09:49:40","1","DISTU1B - Disturbance I/P","BPD190107-001291",""
"01/07/2019 10:30:12","1","TRESP1B-Trespassing I/P","BPD190107-001297",""
"01/07/2019 11:22:47","1","TRESP1B-Trespassing I/P","BPD190107-001310","20190107-0000211"
"01/07/2019 12:15:36","1","TRESP1B-Trespassing I/P","BPD190107-001327",""
"01/07/2019 12:42:55","1","DISTU1B - Disturbance I/P","BPD190107-001338",""
"01/07/2019 13:40:28","1","DISTU1B - Disturbance I/P","BPD190107-001358","20190107-0000218"
"01/07/2019 13:42:49","1","HARAS1B-Harassment I/P","BPD190107-001360",""
"01/07/2019 15:03:35","1","DISTU1B - Disturbance I/P","BPD190107-001384","20190107-0000222"
"01/07/2019 18:00:45","1","TRESP1B-Trespassing I/P","BPD190107-001428",""
"01/07/2019 21:14:55","1","TRESP1B-Trespassing I/P","BPD190107-001456",""
"01/07/2019 21:47:57","1","DISTU1B - Disturbance I/P","BPD190107-001462","20190107-0000231"
"01/07/2019 22:06:25","1","TRESP1B-Trespassing I/P","BPD190107-001467",""
"01/07/2019 23:11:49","1","TRESP1B-Trespassing I/P","BPD190107-001478","20190107-0000233"
"01/08/2019 00:55:26","1","TRESP1B-Trespassing I/P","BPD190108-001485",""
"01/08/2019 11:48:16","1","TRESP1B-Trespassing I/P","BPD190108-001551",""
"01/08/2019 12:41:50","1","DISTU1B - Disturbance I/P","BPD190108-001563",""
"01/08/2019 12:43:01","1","DISTU1B - Disturbance I/P","BPD190108-001564","20190108-0000242"
"01/08/2019 14:21:30","1","DISTU1B - Disturbance I/P","BPD190108-001588","20190108-0000245"
"01/08/2019 15:13:48","1","HARAS1B-Harassment I/P","BPD190108-001622",""
"01/08/2019 16:19:47","1","TRESP1B-Trespassing I/P","BPD190108-001636",""
"01/08/2019 17:37:09","1","DISTU1B - Disturbance I/P","BPD190108-001653",""
"01/08/2019 19:14:27","1","HARAS1B-Harassment I/P","BPD190108-001666",""
"01/08/2019 20:03:02","1","TRESP1B-Trespassing I/P","BPD190108-001675",""
"01/08/2019 22:59:57","1","SUSPI1B-Suspicious I/P","BPD190108-001692",""
"01/08/2019 23:37:25","1","DISTU1B - Disturbance I/P","BPD190108-001697",""
"01/09/2019 01:52:33","1","TRESP1B-Trespassing I/P","BPD190109-001702",""
"01/09/2019 08:07:08","1","HARAS1B-Harassment I/P","BPD190109-001728",""
"01/09/2019 11:34:43","1","SUSPI1B-Suspicious I/P","BPD190109-001788",""
"01/09/2019 11:59:09","1","SUSPI1B-Suspicious I/P","BPD190109-001811",""
"01/09/2019 13:49:04","1","DISTU1B - Disturbance I/P","BPD190109-001846",""
"01/09/2019 13:54:31","1","DISTU1B - Disturbance I/P","BPD190109-001847",""
"01/09/2019 17:17:14","1","TRESP1B-Trespassing I/P","BPD190109-001914",""
"01/09/2019 17:25:57","1","DISTU1B - Disturbance I/P","BPD190109-001918","20190109-0000295"
"01/09/2019 17:26:07","1","DISTU1B - Disturbance I/P","BPD190109-001919",""
"01/09/2019 18:06:57","1","TRESP1B-Trespassing I/P","BPD190109-001925",""
"01/09/2019 18:31:04","1","DISTU1B - Disturbance I/P","BPD190109-001930",""
"01/10/2019 00:00:30","1","TRESP1B-Trespassing I/P","BPD190110-001983","20190110-0000305"
"01/10/2019 05:45:00","1","TRESP1B-Trespassing I/P","BPD190110-002007",""
"01/10/2019 08:27:23","1","SUSPI1B-Suspicious I/P","BPD190110-002023",""
"01/10/2019 08:57:04","1","TRESP1B-Trespassing I/P","BPD190110-002028",""
"01/10/2019 09:14:03","1","TRESP1B-Trespassing I/P","BPD190110-002035",""
"01/10/2019 12:31:58","1","INEXP1B-Indecent Exposure I/P","BPD190110-002103",""
"01/10/2019 13:13:25","1","OAAB-Other Agency Assis","BPD190110-002120","20190110-0000318"
"01/10/2019 14:11:24","1","TRESP1B-Trespassing I/P","BPD190110-002160",""
"01/10/2019 14:40:09","1","DISTU1B - Disturbance I/P","BPD190110-002171",""
"01/10/2019 14:43:38","1","TRESP1B-Trespassing I/P","BPD190110-002173","20190110-0000324"
"01/10/2019 18:47:40","1","SUSPI1B-Suspicious I/P","BPD190110-002231",""
"01/10/2019 20:16:53","1","SUSPI1B-Suspicious I/P","BPD190110-002250",""
"01/10/2019 20:50:53","1","ASSAU1B-Assault I/P","BPD190110-002254","20190110-0000338"
"01/11/2019 07:28:20","1","DISTU1B - Disturbance I/P","BPD190111-002305",""
"01/11/2019 08:34:44","1","TRESP1B-Trespassing I/P","BPD190111-002315",""
"01/11/2019 09:13:03","1","TRESP1B-Trespassing I/P","BPD190111-002326",""
"01/11/2019 09:23:33","1","DISTU1B - Disturbance I/P","BPD190111-002327",""
"01/11/2019 10:59:51","1","DISTU1B - Disturbance I/P","BPD190111-002376",""
"01/11/2019 14:12:23","1","TRESP1B-Trespassing I/P","BPD190111-002408",""
"01/11/2019 15:35:52","1","TRESP1B-Trespassing I/P","BPD190111-002433",""
"01/11/2019 16:09:15","1","DISTU1B - Disturbance I/P","BPD190111-002446","20190111-0000362"
"01/11/2019 19:46:14","1","TRESP1B-Trespassing I/P","BPD190111-002496",""
"01/11/2019 20:07:23","1","TRESP1B-Trespassing I/P","BPD190111-002504",""
"01/12/2019 00:36:25","1","SUSPI1B-Suspicious I/P","BPD190112-002540","20190112-0000373"
"01/12/2019 02:06:41","1","DISTU1B - Disturbance I/P","BPD190112-002547",""
"01/12/2019 06:17:16","1","TRESP1B-Trespassing I/P","BPD190112-002561",""
"01/12/2019 07:42:41","1","DISTU1B - Disturbance I/P","BPD190112-002569",""
"01/12/2019 09:33:53","1","MENAC1B-Menacing I/P","BPD190112-002585","20190112-0000380"
"01/12/2019 09:45:50","1","TRESP1B-Trespassing I/P","BPD190112-002586",""
"01/12/2019 08:35:01","1","DISTU1B - Disturbance I/P","BPD190112-002577",""
"01/12/2019 13:26:51","1","TRESP1B-Trespassing I/P","BPD190112-002632",""
"01/12/2019 14:14:42","1","TRESP1B-Trespassing I/P","BPD190112-002639",""
"01/12/2019 14:20:23","1","TRESP1B-Trespassing I/P","BPD190112-002640",""
"01/12/2019 15:41:56","1","DISTU1B - Disturbance I/P","BPD190112-002659",""
"01/12/2019 15:49:13","1","HARAS1B-Harassment I/P","BPD190112-002661",""
"01/12/2019 16:34:04","1","DISTU1B - Disturbance I/P","BPD190112-002671",""
"01/12/2019 16:34:37","1","DISTU1B - Disturbance I/P","BPD190112-002672",""
"01/12/2019 17:27:14","1","HARAS1B-Harassment I/P","BPD190112-002678",""
"01/12/2019 17:35:15","1","DISTU1B - Disturbance I/P","BPD190112-002680",""
"01/12/2019 18:10:07","1","DISTU1B - Disturbance I/P","BPD190112-002684","20190112-0000394"
"01/12/2019 18:25:56","1","DISTU1B - Disturbance I/P","BPD190112-002685",""
"01/13/2019 02:03:15","1","DISTU1B - Disturbance I/P","BPD190113-002734","20190113-0000404"
"01/13/2019 04:13:48","1","DISTU1B - Disturbance I/P","BPD190113-002744",""
"01/13/2019 10:43:33","1","TRESP1B-Trespassing I/P","BPD190113-002769","20190113-0000411"
"01/13/2019 12:56:19","1","SUSPI1B-Suspicious I/P","BPD190113-002786",""
"01/13/2019 19:45:54","1","DISTU1B - Disturbance I/P","BPD190113-002861",""
"01/13/2019 19:58:14","1","DISTU1B - Disturbance I/P","BPD190113-002864",""
"01/13/2019 20:16:35","1","WEAPO1B-Weapon I/P","BPD190113-002871",""
"01/13/2019 20:29:24","1","DISTU1B - Disturbance I/P","BPD190113-002874","20190113-0000421"
"01/13/2019 21:25:48","1","DISTU1B - Disturbance I/P","BPD190113-002880",""
"01/13/2019 22:04:07","1","DISTU1B - Disturbance I/P","BPD190113-002886",""
"01/13/2019 23:16:02","1","TRESP1B-Trespassing I/P","BPD190113-002894",""
"01/14/2019 02:45:38","1","TRESP1B-Trespassing I/P","BPD190114-002913","20190114-0000428"
"01/14/2019 04:46:04","1","HARAS1B-Harassment I/P","BPD190114-002916",""
"01/14/2019 00:46:52","1","TRESP1B-Trespassing I/P","BPD190114-002904",""
"01/14/2019 09:03:30","1","INEXP1B-Indecent Exposure I/P","BPD190114-002936",""
"01/14/2019 09:43:21","1","DISTU1B - Disturbance I/P","BPD190114-002951",""
"01/14/2019 11:02:00","1","TRESP1B-Trespassing I/P","BPD190114-002982",""
"01/14/2019 12:11:09","1","SUSPI1B-Suspicious I/P","BPD190114-003048","20190114-0000435"
"01/14/2019 14:28:13","1","SUSPI1B-Suspicious I/P","BPD190114-003080",""
"01/14/2019 18:48:39","1","SUSPI1B-Suspicious I/P","BPD190114-003159",""
"01/14/2019 18:20:37","1","DISTU1B - Disturbance I/P","BPD190114-003155",""
"01/14/2019 21:00:58","1","TRESP1B-Trespassing I/P","BPD190114-003186",""
"01/14/2019 21:17:59","1","DISTU1B - Disturbance I/P","BPD190114-003187",""
"01/14/2019 23:48:50","1","TRESP1B-Trespassing I/P","BPD190114-003208",""
"01/15/2019 04:01:14","1","TRESP1B-Trespassing I/P","BPD190115-003228",""
"01/15/2019 07:29:03","1","HARAS1B-Harassment I/P","BPD190115-003245",""
"01/15/2019 08:19:15","1","TRESP1B-Trespassing I/P","BPD190115-003257",""
"01/15/2019 10:45:16","1","TRESP1B-Trespassing I/P","BPD190115-003293",""
"01/15/2019 10:55:44","1","TRESP1B-Trespassing I/P","BPD190115-003299","20190115-0000465"
"01/15/2019 12:18:56","1","TRESP1B-Trespassing I/P","BPD190115-003321",""
"01/15/2019 14:45:53","1","SUSPI1B-Suspicious I/P","BPD190115-003358",""
"01/15/2019 15:03:05","1","TRESP1B-Trespassing I/P","BPD190115-003363",""
"01/15/2019 15:20:56","1","DISTU1B - Disturbance I/P","BPD190115-003374",""
"01/15/2019 16:11:14","1","DISTU1B - Disturbance I/P","BPD190115-003396",""
"01/15/2019 15:57:48","1","TRESP1B-Trespassing I/P","BPD190115-003390",""
"01/15/2019 18:25:32","1","DISTU1B - Disturbance I/P","BPD190115-003424","20190115-0000497"
"01/15/2019 18:42:41","1","DISTU1B - Disturbance I/P","BPD190115-003429","20190115-0000490"
"01/15/2019 19:16:51","1","DISTU1B - Disturbance I/P","BPD190115-003434",""
"01/15/2019 21:09:36","1","MENAC2B-Menacing J/O","BPD190115-003452",""
"01/15/2019 21:33:46","1","TRESP1B-Trespassing I/P","BPD190115-003455",""
"01/15/2019 20:26:20","1","SUSPI1B-Suspicious I/P","BPD190115-003447",""
"11/15/2018 00:53:53","1","TRESP1B-Trespassing I/P","BPD181115-091692",""
"11/15/2018 01:20:35","1","DISTU1B - Disturbance I/P","BPD181115-091696",""
"11/15/2018 01:24:34","1","SUSPI1B-Suspicious I/P","BPD181115-091697",""
"11/15/2018 02:35:15","1","TRESP1B-Trespassing I/P","BPD181115-091704","20181115-0014726"
"11/15/2018 04:58:52","1","SUSPI1B-Suspicious I/P","BPD181115-091711",""
"11/15/2018 08:07:22","1","DISTU1B - Disturbance I/P","BPD181115-091721",""
"11/15/2018 09:58:51","1","TRESP1B-Trespassing I/P","BPD181115-091750",""
"11/15/2018 10:29:12","1","TRESP1B-Trespassing I/P","BPD181115-091760","20181115-0014739"
"11/15/2018 12:00:53","1","SUSPI1B-Suspicious I/P","BPD181115-091764","20181115-0014742"
"11/15/2018 12:59:59","1","DISTU1B - Disturbance I/P","BPD181115-091820",""
"11/15/2018 13:07:31","1","MENAC2B-Menacing J/O","BPD181115-091826","20181115-0014746"
"11/15/2018 12:33:44","1","TRESP1B-Trespassing I/P","BPD181115-091814",""
"11/15/2018 13:43:07","1","SASL2B-Sex Assault J/O","BPD181115-091841","20181115-0014748"
"11/15/2018 15:35:02","1","DISTU1B - Disturbance I/P","BPD181115-091884",""
"11/15/2018 18:06:42","1","CRTRE1B - Criminal Tresp I/P","BPD181115-091935","20181115-0014766"
"11/15/2018 16:43:45","1","DISTU1B - Disturbance I/P","BPD181115-091886","20181115-0014756"
"11/15/2018 21:03:43","1","DISTU1B - Disturbance I/P","BPD181115-091967","20181115-0014772"
"11/15/2018 22:19:14","1","SUSPI1B-Suspicious I/P","BPD181115-091981","20181115-0014775"
"11/15/2018 22:22:49","1","TRESP1B-Trespassing I/P","BPD181115-091982",""
"11/15/2018 22:56:36","1","DISTU1B - Disturbance I/P","BPD181115-091989",""
"11/15/2018 23:10:34","1","SUSPI1B-Suspicious I/P","BPD181115-091992",""
"11/16/2018 06:02:34","1","SUSPI1B-Suspicious I/P","BPD181116-092022",""
"11/16/2018 06:15:06","1","SUSPI1B-Suspicious I/P","BPD181116-092024",""
"11/16/2018 08:03:10","1","TRESP1B-Trespassing I/P","BPD181116-092045","20181116-0014780"
"11/16/2018 14:57:38","1","TRESP1B-Trespassing I/P","BPD181116-092193",""
"11/16/2018 13:59:24","1","DISTU1B - Disturbance I/P","BPD181116-092179",""
"11/16/2018 17:27:07","1","DISTU1B - Disturbance I/P","BPD181116-092248",""
"11/16/2018 18:54:11","1","DISTU1B - Disturbance I/P","BPD181116-092276",""
"11/17/2018 13:41:04","1","TRESP1B-Trespassing I/P","BPD181117-092428","20181117-0014831"
"11/17/2018 15:25:57","1","SUSPI1B-Suspicious I/P","BPD181117-092449",""
"11/17/2018 18:26:57","1","TRESP1B-Trespassing I/P","BPD181117-092489",""
"11/17/2018 19:48:47","1","DISTU1B - Disturbance I/P","BPD181117-092506",""
"11/17/2018 20:20:05","1","DISTU1B - Disturbance I/P","BPD181117-092509",""
"11/17/2018 18:56:04","1","DISTU1B - Disturbance I/P","BPD181117-092496",""
"11/17/2018 22:13:01","1","WEAPO1B-Weapon I/P","BPD181117-092529","20181117-0014850"
"11/17/2018 22:40:14","1","CRMIS1B - Criminal Mis I/P","BPD181117-092530",""
"11/18/2018 07:08:44","1","SUSPI1B-Suspicious I/P","BPD181118-092569","20181118-0014856"
"11/18/2018 07:25:18","1","TRESP1B-Trespassing I/P","BPD181118-092573",""
"11/18/2018 08:36:06","1","DISTU1B - Disturbance I/P","BPD181118-092576",""
"11/18/2018 08:55:08","1","TRESP1B-Trespassing I/P","BPD181118-092581",""
"11/18/2018 09:06:18","1","TRESP1B-Trespassing I/P","BPD181118-092584",""
"11/18/2018 09:45:27","1","TRESP1B-Trespassing I/P","BPD181118-092591",""
"11/18/2018 12:11:00","1","DISTU1B - Disturbance I/P","BPD181118-092618",""
"11/18/2018 11:22:06","1","DISTU1B - Disturbance I/P","BPD181118-092608",""
"11/18/2018 16:31:24","1","SUSPI1B-Suspicious I/P","BPD181118-092667",""
"11/19/2018 02:56:40","1","SHOTS1B-Shots Heard I/P","BPD181119-092768",""
"11/19/2018 03:54:56","1","SUSPI1B-Suspicious I/P","BPD181119-092769",""
"11/19/2018 04:57:25","1","SUSPI1B-Suspicious I/P","BPD181119-092773",""
"11/19/2018 09:26:50","1","DISTU1B - Disturbance I/P","BPD181119-092799",""
"11/19/2018 09:55:28","1","DISTU1B - Disturbance I/P","BPD181119-092806",""
"11/19/2018 11:47:51","1","DISTU1B - Disturbance I/P","BPD181119-092830",""
"11/19/2018 13:54:10","1","DISTU1B - Disturbance I/P","BPD181119-092852",""
"11/19/2018 15:24:17","1","ASSAU1B-Assault I/P","BPD181119-092875",""
"11/19/2018 18:13:33","1","DISTU1B - Disturbance I/P","BPD181119-092926",""
"11/19/2018 18:17:25","1","SASL1B-Sex Assault I/P","BPD181119-092927","20181119-0014910"
"11/19/2018 18:33:03","1","DISTU1B - Disturbance I/P","BPD181119-092930",""
"11/19/2018 21:23:16","1","DISTU1B - Disturbance I/P","BPD181119-092954",""
"11/19/2018 21:24:15","1","TRESP1B-Trespassing I/P","BPD181119-092955","20181119-0014914"
"11/19/2018 19:07:31","1","DISTU1B - Disturbance I/P","BPD181119-092937",""
"11/19/2018 19:51:47","1","DISTU1B - Disturbance I/P","BPD181119-092943",""
"11/20/2018 01:39:12","1","SUSPI1B-Suspicious I/P","BPD181120-092968",""
"11/20/2018 12:02:44","1","DISTU1B - Disturbance I/P","BPD181120-093048",""
"11/20/2018 17:04:19","1","DISTU1B - Disturbance I/P","BPD181120-093130",""
"11/20/2018 17:40:58","1","SUSPI1B-Suspicious I/P","BPD181120-093141",""
"11/20/2018 20:30:49","1","DISTU1B - Disturbance I/P","BPD181120-093177",""
"11/20/2018 21:07:51","1","DISTU1B - Disturbance I/P","BPD181120-093181",""
"11/20/2018 21:59:28","1","DISTU1B - Disturbance I/P","BPD181120-093187",""
"11/20/2018 22:02:27","1","DISTU1B - Disturbance I/P","BPD181120-093189","20181120-0014952"
"11/20/2018 22:46:36","1","DISTU1B - Disturbance I/P","BPD181120-093192",""
"11/21/2018 09:04:05","1","DISTU1B - Disturbance I/P","BPD181121-093264",""
"11/21/2018 13:53:39","1","TRESP1B-Trespassing I/P","BPD181121-093356",""
"11/21/2018 16:02:32","1","TRESP1B-Trespassing I/P","BPD181121-093402","20181121-0014979"
"11/21/2018 16:43:57","1","DISTU1B - Disturbance I/P","BPD181121-093417","20181121-0014982"
"11/21/2018 19:06:30","1","DISTU1B - Disturbance I/P","BPD181121-093454",""
"11/21/2018 20:11:29","1","DISTU1B - Disturbance I/P","BPD181121-093462",""
"11/21/2018 23:00:38","1","ASSAU1B-Assault I/P","BPD181121-093485","20181121-0014996"
"11/22/2018 00:25:27","1","SUSPI1B-Suspicious I/P","BPD181122-093498",""
"11/22/2018 11:01:17","1","SUSPI1B-Suspicious I/P","BPD181122-093542",""
"11/22/2018 14:58:04","1","MENAC1B-Menacing I/P","BPD181122-093571","20181122-0015005"
"11/23/2018 02:08:18","1","DISTU1B - Disturbance I/P","BPD181123-093632","20181123-0015011"
"11/23/2018 02:38:46","1","DISTU1B - Disturbance I/P","BPD181123-093635",""
"11/23/2018 04:27:11","1","TRESP1B-Trespassing I/P","BPD181123-093636","20181123-0015013"
"11/23/2018 04:55:40","1","DISTU1B - Disturbance I/P","BPD181123-093639","20181123-0015014"
"11/23/2018 06:28:27","1","DISTU1B - Disturbance I/P","BPD181123-093644",""
"11/23/2018 12:01:25","1","DISTU1B - Disturbance I/P","BPD181123-093712",""
"11/23/2018 15:45:18","1","ASSAU1B-Assault I/P","BPD181123-093782","20181123-0015031"
"11/23/2018 19:21:25","1","DISTU1B - Disturbance I/P","BPD181123-093836",""
"11/24/2018 11:36:59","1","TRESP1B-Trespassing I/P","BPD181124-093950","20181124-0015050"
"11/24/2018 12:36:10","1","DISTU1B - Disturbance I/P","BPD181124-093966",""
"11/24/2018 12:38:06","1","DISTU1B - Disturbance I/P","BPD181124-093967",""
"11/24/2018 13:08:06","1","HARAS1B-Harassment I/P","BPD181124-093973",""
"11/24/2018 13:17:44","1","TRESP1B-Trespassing I/P","BPD181124-093976",""
"11/24/2018 12:03:02","1","DISTU1B - Disturbance I/P","BPD181124-093958",""
"11/24/2018 12:17:00","1","DISTU1B - Disturbance I/P","BPD181124-093963","20181124-0015051"
"11/24/2018 18:38:16","1","TRESP1B-Trespassing I/P","BPD181124-094037",""
"11/24/2018 19:20:08","1","DISTU1B - Disturbance I/P","BPD181124-094041",""
"11/24/2018 19:33:15","1","TRESP1B-Trespassing I/P","BPD181124-094042",""
